Date,Location
02/01/2015(37.7139249971979, -122.43761850613)
02/01/2015(37.7844990197997, -122.419458073153)
02/01/2015(37.7838226942199, -122.421011927709)
02/01/2015(37.7830037964534, -122.412414263581)
02/01/2015(37.7635138827396, -122.478191939982)
02/01/2015(37.7881242734432, -122.417672923626)
02/01/2015(37.7522731644848, -122.417878226786)
02/01/2015(37.7833862379382, -122.409853729941)
02/01/2015(37.7833862379382, -122.409853729941)
02/01/2015(37.7842973843312, -122.410157073911)
02/02/2015(37.778293520129, -122.415448759562)
02/01/2015(37.7857918163181, -122.396920775993)
02/02/2015(37.7398702066093, -122.424147588961)
02/02/2015(37.76343703896, -122.460830150553)
02/02/2015(37.7554371875097, -122.418748733523)
02/02/2015(37.7850943210103, -122.407845374111)
02/02/2015(37.7850943210103, -122.407845374111)
02/02/2015(37.7850943210103, -122.407845374111)
02/02/2015(37.7852071918419, -122.406690592261)
02/02/2015(37.7870801005292, -122.413162802096)
02/01/2015(37.7358413359143, -122.449991706608)
02/02/2015(37.7822305870036, -122.41029351969)
02/02/2015(37.7661259454801, -122.42207304894)
02/02/2015(37.7330448919252, -122.434363909417)
02/02/2015(37.7823291237659, -122.414029821727)
02/02/2015(37.7823291237659, -122.414029821727)
02/02/2015(37.7823291237659, -122.414029821727)
02/02/2015(37.7316450604526, -122.391800296943)
02/02/2015(37.7316450604526, -122.391800296943)
02/01/2015(37.7738617771611, -122.413045971966)
02/01/2015(37.7892390511991, -122.442320261009)
02/02/2015(37.7834857455601, -122.412436901867)
02/02/2015(37.7888993699465, -122.403177062044)
02/02/2015(37.7283363348481, -122.445438540349)
02/02/2015(37.7853238292094, -122.417107256373)
01/31/2015(37.7729864955863, -122.431481386384)
02/02/2015(37.7831585013597, -122.399625435061)
02/02/2015(37.7795496260755, -122.40749684872)
02/02/2015(37.7407360548358, -122.388753046997)
02/02/2015(37.7820204255866, -122.413069926397)
02/02/2015(37.7820204255866, -122.413069926397)
02/01/2015(37.8006581362894, -122.441342986493)
02/02/2015(37.7650501214668, -122.419671780296)
02/02/2015(37.77862707848, -122.399151509541)
01/29/2015(37.7294990859712, -122.379424889828)
01/28/2015(37.7874643193106, -122.394172783809)
02/02/2015(37.7161650273626, -122.466676958213)
02/02/2015(37.7161650273626, -122.466676958213)
02/01/2015(37.7577269207659, -122.420489911989)
02/01/2015(37.7577269207659, -122.420489911989)
02/02/2015(37.7671999403456, -122.458638758608)
02/02/2015(37.7864094033618, -122.408040474858)
02/02/2015(37.7864094033618, -122.408040474858)
02/01/2015(37.7635158382169, -122.426118705944)
02/01/2015(37.8006581362894, -122.441342986493)
02/01/2015(37.8006581362894, -122.441342986493)
02/01/2015(37.8006581362894, -122.441342986493)
01/30/2015(37.7561689903902, -122.495889000409)
02/02/2015(37.7546255872838, -122.41860030589)
02/01/2015(37.8002462854299, -122.431930567825)
02/01/2015(37.7741823599244, -122.447849373033)
02/02/2015(37.8021828448089, -122.412911739492)
02/02/2015(37.7564864109309, -122.406539115148)
02/02/2015(37.7564864109309, -122.406539115148)
01/20/2015(37.7779180624996, -122.429850411503)
01/30/2015(37.7659016973539, -122.394820593541)
02/02/2015(37.7640000597982, -122.510339992198)
01/27/2015(37.7806522801523, -122.396589419143)
01/26/2015(37.775420706711, -122.403404791479)
01/26/2015(37.775420706711, -122.403404791479)
01/26/2015(37.775420706711, -122.403404791479)
01/26/2015(37.775420706711, -122.403404791479)
02/02/2015(37.7681824226595, -122.409741520264)
01/16/2015(37.7948545970277, -122.446001055682)
02/02/2015(37.7947589530812, -122.413169470388)
02/02/2015(37.7550864947417, -122.403513955008)
02/02/2015(37.7640888944532, -122.421876488492)
02/02/2015(37.7640888944532, -122.421876488492)
02/02/2015(37.7866167883705, -122.451757655731)
01/27/2015(37.7816954391618, -122.490771188288)
01/27/2015(37.7816954391618, -122.490771188288)
02/02/2015(37.7825695563336, -122.430798473748)
01/30/2015(37.7744749193206, -122.398389903403)
02/01/2015(37.7587640201132, -122.416872883664)
02/01/2015(37.798682902385, -122.444615066137)
01/24/2015(37.719668771199, -122.411162307172)
02/02/2015(37.7714591179274, -122.450601497864)
02/02/2015(37.7108945814914, -122.420556751442)
02/02/2015(37.7108945814914, -122.420556751442)
02/02/2015(37.7108945814914, -122.420556751442)
02/02/2015(37.7780245674641, -122.415444159886)
01/31/2015(37.7868849113107, -122.408201657254)
02/02/2015(37.7802227066368, -122.481516526312)
01/30/2015(37.758874126626, -122.414139645652)
01/31/2015(37.7870905204825, -122.400860907814)
02/02/2015(37.775420706711, -122.403404791479)
02/02/2015(37.775420706711, -122.403404791479)
02/02/2015(37.7913128123286, -122.405310423964)
02/02/2015(37.7843478513151, -122.409313111431)
01/31/2015(37.7633237012278, -122.482480961268)
02/02/2015(37.7841889075267, -122.410135236377)
02/02/2015(37.7841889075267, -122.410135236377)
02/01/2015(37.7590564727907, -122.3912257128)
02/02/2015(37.795897532517, -122.437797231259)
02/02/2015(37.7850629421661, -122.406520987144)
01/20/2015(37.7881906054546, -122.418580508889)
01/20/2015(37.7881906054546, -122.418580508889)
02/02/2015(37.7187936431951, -122.468877005913)
02/02/2015(37.7187936431951, -122.468877005913)
02/27/2015(37.7408779454292, -122.42679961735)
01/31/2015(37.7522985347253, -122.476860541877)
02/02/2015(37.7194008333885, -122.387234795761)
02/02/2015(37.7458259930791, -122.450852211443)
01/30/2015(37.7791229026408, -122.50348287909)
02/02/2015(37.7186884382294, -122.390564527749)
02/02/2015(37.7725405391593, -122.466204667893)
01/30/2015(37.8096707013239, -122.365565425353)
02/02/2015(37.7704697548539, -122.443311949602)
02/02/2015(37.7704697548539, -122.443311949602)
01/30/2015(37.7291845796038, -122.466758005159)
01/30/2015(37.7291845796038, -122.466758005159)
01/30/2015(37.7291845796038, -122.466758005159)
02/02/2015(37.8013225692058, -122.410220142966)
02/02/2015(37.8013225692058, -122.410220142966)
02/02/2015(37.8013225692058, -122.410220142966)
